1.29333e-07, 2.01667e-07, 1.77e-07, 1.05333e-07
2.64e-07, 4.5e-07, 3.46333e-07, 1.98667e-07
3.86333e-07, 1.11233e-06, 4.91333e-07, 2.87333e-07
5.68e-07, 1.96967e-06, 7.23e-07, 5.48e-07
1.02133e-06, 4.12367e-06, 1.62033e-06, 1.02767e-06
2.07467e-06, 8.86133e-06, 3.497e-06, 2.38667e-06
4.528e-06, 1.77413e-05, 2.4557e-05, 4.76233e-06
1.0225e-05, 3.02337e-05, 4.74267e-06, 3.92733e-06
2.1924e-05, 4.92123e-05, 2.22213e-05, 2.5168e-05
4.83783e-05, 8.70887e-05, 4.8511e-05, 4.95043e-05
9.60377e-05, 9.36263e-05, 3.76437e-05, 4.3078e-05
0.000256262, 0.000183892, 9.9632e-05, 0.000253434
0.000529431, 0.000726596, 0.000159239, 0.000197689
0.00111682, 0.00113623, 0.00058124, 0.00043883
0.00145788, 0.00183589, 0.00116581, 0.00102639
0.00192245, 0.00264484, 0.00159311, 0.00211752
0.00483568, 0.00576956, 0.00329273, 0.00440826
0.011635, 0.0127436, 0.0092645, 0.0118223
0.0256672, 0.0283504, 0.017893, 0.0264679
0.0536624, 0.0573369, 0.0442648, 0.0568733
0.114455, 0.121004, 0.0755662, 0.116461
0.235618, 0.244582, 0.15714, 0.247344
0.500154, 0.497506, 0.331344, 0.50135
1.07338, 1.02714, 0.699754, 1.07602
2.42343, 2.20406, 1.55156, 2.51156
5.76994, 4.69989, 3.31536, 5.79682
