0, 1.285e-06, 1.45e-06, 1.412e-06, 1.101e-06
1, 1.47567e-06, 1.63233e-06, 1.438e-06, 1.215e-06
2, 2.19967e-06, 3.35533e-06, 2.34867e-06, 1.88667e-06
3, 2.802e-06, 7.241e-06, 5.12167e-06, 4.734e-06
4, 6.881e-06, 1.15363e-05, 9.06833e-06, 9.426e-06
5, 1.65377e-05, 3.7856e-05, 2.63587e-05, 2.30197e-05
6, 5.53253e-05, 7.73933e-05, 3.4181e-05, 5.45003e-05
7, 9.19017e-05, 8.67247e-05, 2.7084e-05, 3.88307e-05
8, 0.00020693, 0.000187862, 0.000137476, 0.000215196
9, 0.000474668, 0.000318906, 0.000283305, 0.000475004
10, 0.00102208, 0.000839327, 0.000496324, 0.000379219
11, 0.000816325, 0.000572957, 0.000519821, 0.000832732
12, 0.00205276, 0.00116273, 0.00106297, 0.00189805
13, 0.00385231, 0.00240724, 0.00220626, 0.00395594
14, 0.00851993, 0.0050237, 0.00455825, 0.00844475
15, 0.0179814, 0.0103554, 0.00965075, 0.0180118
16, 0.0380181, 0.0213229, 0.0203331, 0.0385502
17, 0.0842377, 0.0451955, 0.0432428, 0.0860276
18, 0.181987, 0.0954956, 0.0890828, 0.185614
19, 0.382557, 0.198201, 0.189626, 0.389826
20, 0.806192, 0.405729, 0.395503, 0.831343
21, 1.69385, 0.85969, 0.818599, 1.74321
22, 3.56985, 1.82997, 1.73103, 3.70229
23, 7.40948, 3.72754, 3.46238, 7.6072
24, 15.427, 8.01435, 7.56314, 15.9453
25, 32.775, 15.7494, 15.1613, 33.4453

